City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
243,kingston,17.997,-76.7936,26.53,92,20,4.12,JM,1696470873
244,wuhu,31.3366,118.3755,22.13,70,89,7.25,CN,1696470886
245,kushiro,42.975,144.3747,15.53,100,75,3.09,JP,1696470737
246,patterson,37.4716,-121.1297,28.97,47,0,2.08,US,1696470886
247,freetown,8.484,-13.2299,25.17,88,64,0.9,SL,1696470887
248,siwa oasis,29.2041,25.5195,25.01,56,97,3.92,EG,1696470887
249,hadibu,12.65,54.0333,25.91,81,33,2.13,YE,1696470887
250,north adams,42.7009,-73.1087,20.7,89,0,0.45,US,1696470887
251,santa ana,33.7456,-117.8678,33.73,49,0,4.63,US,1696470768
252,monrovia,6.3005,-10.7969,25.12,87,71,1.85,LR,1696470888
253,mingora,34.7758,72.3625,18.97,37,0,3.03,PK,1696470888
254,moron,-34.6534,-58.6198,13.87,58,1,1.34,AR,1696470888
255,tainan,22.9908,120.2133,27.88,74,100,13.38,TW,1696470826
256,griffith,41.5284,-87.4237,25.03,55,40,3.09,US,1696470889
257,dali,25.7,100.1833,18.66,88,83,1.93,CN,1696470889
258,novyy urgal,51.0736,132.5642,8.33,92,100,2.33,RU,1696470889
259,fort bragg,35.139,-79.006,19.75,82,0,0.45,US,1696470889
260,sharlyk,52.9167,54.75,10.64,91,3,3.4,RU,1696470890
261,lompoc,34.6391,-120.4579,25.38,70,0,0.0,US,1696470713
262,charters towers,-20.1,146.2667,30.55,39,98,1.67,AU,1696470890
263,san pedro martir,20.6196,-100.4711,19.5,78,90,2.82,MX,1696470891
264,fale old settlement,-9.3852,-171.2468,28.31,77,37,3.3,TK,1696470891
265,kandalaksha,67.162,32.4123,-0.61,86,93,2.24,RU,1696470792
266,manadhoo,5.7667,73.3833,27.04,83,100,6.57,MV,1696470891
267,sao gabriel da cachoeira,-0.1303,-67.0892,25.51,78,40,1.38,BR,1696470891
268,wickenburg,33.9686,-112.7296,28.44,18,0,3.06,US,1696470866
269,mount gambier,-37.8333,140.7667,13.18,92,97,5.77,AU,1696470892
270,darhan,49.4867,105.9228,9.51,50,92,0.35,MN,1696470892
271,shagonar,51.5333,92.8,9.31,65,8,0.97,RU,1696470892
272,barcelos,41.5388,-8.6151,19.91,91,17,0.64,PT,1696470758
273,antsiranana,-12.2787,49.2917,23.17,81,8,7.82,MG,1696470893
274,maba,24.6841,113.5984,24.05,85,100,1.87,CN,1696470893
275,toliara,-23.35,43.6667,21.97,45,0,3.68,MG,1696470893
276,smithers,54.7804,-127.1743,10.18,81,100,2.57,CA,1696470893
277,san giuseppe jato,37.9734,13.1881,19.07,51,66,0.53,IT,1696470894
278,lashio,22.9333,97.75,23.17,90,52,0.16,MM,1696470894
279,enewetak,11.3474,162.3373,28.98,78,94,6.75,MH,1696470894
280,mersing,2.4312,103.8405,26.95,94,20,1.54,MY,1696470894
281,ribeira brava,32.65,-17.0667,27.23,58,100,2.88,PT,1696470894
282,krasnapollye,53.3337,31.4014,9.41,87,45,4.73,BY,1696470895
283,casablanca,33.5928,-7.6192,19.01,57,77,1.47,MA,1696470895
284,gimbi,9.1667,35.8333,11.84,92,40,0.9,ET,1696470895
285,suntar,62.1444,117.6319,-0.49,75,8,5.81,RU,1696470895
286,page,36.9147,-111.4558,21.88,28,0,2.24,US,1696470896
287,alaghsas,17.0187,8.0168,29.36,27,4,5.07,NE,1696470896
288,margate,51.3813,1.3862,13.5,82,100,0.89,GB,1696470896
289,katsuren-haebaru,26.3369,127.8719,32.43,40,20,3.09,JP,1696470896
290,salinopolis,-0.6136,-47.3561,26.58,78,10,5.72,BR,1696470896
291,talakan,50.3167,130.3667,5.18,74,97,4.37,RU,1696470897
292,chegdomyn,51.1167,133.0167,7.96,69,100,0.89,RU,1696470897
293,yakutsk,62.0339,129.7331,-1.02,86,75,4.02,RU,1696470706
294,udachny,66.4167,112.4,-3.08,79,35,8.88,RU,1696470897
295,horta,38.5333,-28.6333,22.79,94,100,8.49,PT,1696470897
296,beaconsfield,45.4334,-73.8659,23.31,84,0,2.06,CA,1696470854
297,paraiso,9.8383,-83.8656,22.2,76,100,0.7,CR,1696470898
298,fada,9.5667,8.3,20.88,91,99,0.4,NG,1696470898
299,bayramaly,37.6185,62.1671,15.86,26,67,3.94,TM,1696470898
300,saudarkrokur,65.7461,-19.6394,3.33,81,98,1.08,IS,1696470899
301,puerto baquerizo moreno,-0.9,-89.6,22.26,85,9,3.65,EC,1696470899
302,maceio,-9.6658,-35.7353,21.69,100,20,2.06,BR,1696470899
303,stanley,54.868,-1.6985,11.51,95,75,2.57,GB,1696470899
304,atyrau,47.1167,51.8833,13.01,62,40,1.0,KZ,1696470719
305,bamboo flat,11.7,92.7167,25.05,94,100,3.09,IN,1696470900
306,kalisz,51.7611,18.091,12.04,69,99,5.26,PL,1696470900
307,hillsborough,37.5741,-122.3794,30.62,51,0,2.06,US,1696470900
308,betio village,1.358,172.9211,32.02,73,100,3.43,KI,1696470901
309,nole,45.2412,7.5731,19.71,89,75,1.03,IT,1696470901
310,irymple,-34.25,142.1667,15.61,59,53,0.89,AU,1696470901
311,kemijarvi,66.7131,27.4306,-1.0,87,29,1.76,FI,1696470901
312,aqadyr,48.2553,72.8483,9.54,64,98,1.45,KZ,1696470901
313,ladner,49.0894,-123.0824,15.96,86,100,1.54,CA,1696470902
314,aljezur,37.3191,-8.8033,19.39,68,72,2.3,PT,1696470902
315,revda,56.801,59.9303,9.18,79,48,5.28,RU,1696470902
316,mount isa,-20.7333,139.5,25.87,17,11,5.14,AU,1696470903
317,howard springs,-12.497,131.047,27.95,40,10,1.04,AU,1696470903
318,iskushuban,10.2837,50.23,26.5,70,39,3.87,SO,1696470903
319,lowestoft,52.4752,1.7516,13.46,82,100,7.06,GB,1696470903
320,mirny,62.5353,113.9611,-0.98,68,88,4.02,RU,1696470904
321,anori,-3.7728,-61.6442,31.77,38,98,1.71,BR,1696470904
322,carutapera,-1.195,-46.02,25.74,78,19,3.6,BR,1696470904
323,richards bay,-28.783,32.0377,20.05,73,77,5.84,ZA,1696470904
324,vila franca do campo,37.7167,-25.4333,23.23,93,73,5.72,PT,1696470904
325,taroa,8.7058,171.2275,28.72,74,97,6.93,MH,1696470905
326,okhotsk,59.3833,143.3,7.29,59,11,1.91,RU,1696470905
327,zouerate,22.7187,-12.4521,29.59,15,48,4.78,MR,1696470905
328,barda,40.3744,47.1267,15.43,86,100,1.84,AZ,1696470905
329,kingscliff,-28.2667,153.5667,27.19,53,75,6.69,AU,1696470906
330,saint-pierre,-21.3393,55.4781,19.2,72,0,3.6,RE,1696470906
331,lerwick,60.1545,-1.1494,9.0,84,83,1.47,GB,1696470906
332,cestos city,5.46,-9.5828,25.35,85,100,2.83,LR,1696470906
333,prabumulih,-3.45,104.25,31.8,49,3,2.27,ID,1696470906
334,guiuan,11.0333,125.7247,28.92,77,8,4.65,PH,1696470907
335,calama,-22.4667,-68.9333,16.27,18,0,3.6,CL,1696470907
336,seme,15.1942,-12.9448,27.67,58,100,6.26,SN,1696470907
337,newman,37.3138,-121.0208,30.19,47,0,0.45,US,1696470907
338,balykshi,47.0667,51.8667,13.0,62,40,1.0,KZ,1696470908
339,kourou,5.1552,-52.6478,27.03,84,82,4.14,GF,1696470908
340,ocean city,39.2776,-74.5746,21.67,85,0,2.24,US,1696470648
341,rockland,41.1668,-74.0496,20.81,91,0,1.42,US,1696470908
342,queenstown,-31.8976,26.8753,19.31,65,73,1.15,ZA,1696470246
343,al lagowa,11.4,29.1333,24.9,72,9,0.61,SD,1696470909
344,saldanha,-33.0117,17.9442,16.03,94,100,3.14,ZA,1696470909
345,malaya vishera,58.8454,32.2222,8.04,94,100,3.38,RU,1696470909
346,palikir - national government center,6.9248,158.1611,28.47,94,100,1.54,FM,1696470909
347,sesheke,-17.4759,24.2968,17.92,26,79,2.19,ZM,1696470910
348,faya-largeau,17.9257,19.1043,28.67,29,47,9.25,TD,1696470910
349,cuamba,-14.8031,36.5372,20.56,62,0,1.25,MZ,1696470910
350,xinhui,22.456,113.0482,32.3,65,100,6.0,CN,1696470910
351,mayo-belwa,9.05,12.05,24.83,83,99,0.77,NG,1696470911
352,petrolina de goias,-16.095,-49.3381,24.61,62,83,0.57,BR,1696470911
353,huarmey,-10.0681,-78.1522,19.33,91,52,2.73,PE,1696470911
354,broken hill,-31.95,141.4333,14.2,42,5,4.44,AU,1696470911
355,fuli,46.7217,131.1394,6.0,68,100,6.44,CN,1696470912
356,dawei,14.0833,98.2,27.43,86,82,1.11,MM,1696470912
357,port augusta,-32.5,137.7667,18.1,42,6,3.15,AU,1696470912
358,kertih,4.5141,103.4483,27.01,88,20,0.0,MY,1696470912
359,kutum,14.2,24.6667,26.4,27,84,3.29,SD,1696470913
360,weno,7.4515,151.8468,30.97,84,75,2.57,FM,1696470913
361,durban,-29.8579,31.0292,21.51,91,47,6.91,ZA,1696470913
362,o barco de valdeorras,42.4164,-6.9901,18.5,65,4,1.08,ES,1696470913
363,zaragoza,41.6561,-0.8773,20.57,58,0,1.34,ES,1696470762
364,fort mcmurray,56.7268,-111.381,8.77,81,100,9.26,CA,1696470684
365,khandyga,62.6667,135.6,0.97,76,96,0.71,RU,1696470914
